,cluster_id,movie_id,info,ranking_score
0,4,1421,My Crazy Life (Mi vida loca) (1993)|Drama|,2.1636151884117965
1,4,903,Afterglow (1997)|Drama|Romance|,2.168719970316736
2,4,980,Mother Night (1996)|Drama|,2.2280502702431346
3,4,1226,Night Falls on Manhattan (1997)|Crime|Drama|,2.251457375666926
4,4,256,When the Cats Away (Chacun cherche son chat) (1996)|Comedy|Romance|,2.2812995389954556
5,4,933,"Funeral, The (1996)|Drama|",2.3031492281049606
6,4,1124,"Farewell to Arms, A (1932)|Romance|War|",2.311698905728064
7,4,297,Ulee's Gold (1997)|Drama|,2.3212718522152644
8,4,618,Picnic (1955)|Drama|,2.324536112874124
9,4,1068,"Star Maker, The (Uomo delle stelle, L') (1995)|Drama|",2.3263466164074478
10,4,587,"Hour of the Pig, The (1993)|Drama|Mystery|",2.3340094836995835
11,4,1211,Blue Sky (1994)|Drama|Romance|,2.3344202791211095
12,4,1171,Wild Reeds (1994)|Drama|,2.3348116867691373
13,4,972,Passion Fish (1992)|Drama|,2.348688786430327
14,4,773,Mute Witness (1994)|Thriller|,2.3765379244436406
15,4,1045,Fearless (1993)|Drama|,2.3788340574529667
16,4,964,"Month by the Lake, A (1995)|Comedy|Drama|",2.380353729171037
17,4,637,"Howling, The (1981)|Comedy|Horror|",2.3866328155585688
18,4,1153,Backbeat (1993)|Drama|Musical|,2.3899150907662534
19,4,766,Man of the Year (1995)|Documentary|,2.3927857142023967
